Workload,TPUv3,mNPUSim,Timeloop,Maestro,SCALE-Sim v3,TOGSim(Ours)
gemm_256x256x256,3101,2426,512,522,1020,
gemm_512x512x512,9490,8584,4096,4162,6128,
gemm_1024x1024x1024,47099,32625,32768,33282,40896,
gemm_2048x2048x2048,317435,3046069,262144,266242,294656,
conv_64x56x56x64x64x3x1x1,1496802,1076160,451584,1683074,610880,
conv_64x28x28x128x128x3x1x1,241935,577408,225792,391042,269952,
conv_64x14x14x256x256x3x1x1,246790,540160,451584,167426,327424,
conv_64x7x7x512x512x3x1x1,247383,1128192,903168,117762,622336,
layernorm_512x768,24895,,,,,
layernorm_2048x768,98234,,,,,
layernorm_8192x768,389863,,,,,
softmax_512x512,12902,,,,,
softmax_2048x2048,169750,,,,,
softmax_8192x8192,2700994,,,,,
attention_12x512x64,110093,101964,30720,49944,48912,
attention_16x512x64,145425,135952,40960,66592,65216,
attention_32x512x64,288250,271904,196608,133184,130432,
resnet18,844524,232699,495520,1518676,206111,
resnet50,1094428,524398,721016,1596151,398447,
bert_base,305077,493756,169984,149820,706886,
bert_large,445317,785205,286720,249676,237056,
bert_xlarge,1283925,3030001,1507328,898700,990016,

